name,combo
Weaver,2-9-2
Wilton,6-6-3
Adolf,7-4-2
Albin,1-1-2
Albion,7-1-8
Allison,7-3-1
Alpha,2-9-2
Alpheus,9-1-1
Anastacio,9-2-2
Andre,6-9-6
Annie,6-1-7
Arlington,7-4-2
Armand,2-4-6
Asberry,6-1-7
Asbury,4-1-5
Asher,6-9-6
Augustin,7-6-4
Auther,9-1-1
Author,1-1-2
Ballard,2-3-5
Blas,1-6-7
Caesar,7-4-2
Candido,7-7-5
Cato,7-5-3
Clarke,6-8-5
Clemente,6-8-5
Colin,6-2-8
Commodore,5-6-2
Cora,7-3-1
Coy,6-1-7
Cruz,3-2-5
Curt,3-5-8
Damon,7-4-2
Davie,6-8-5
Delmar,6-2-8
Dexter,1-3-4
Dora,7-4-2
Doss,6-6-3
Drew,5-9-5
Edson,2-1-3
Elam,6-7-4
Elihu,8-2-1
Eliza,6-2-8
Elsie,1-4-5
Erie,1-9-1
Ernie,1-5-6
Ethel,1-4-5
Ferd,5-1-6
Friend,5-6-2
Garry,1-5-6
Gary,1-5-6
Grace,6-1-7
Gustaf,4-7-2
Hallie,6-5-2
Hampton,7-8-6
Harrie,6-8-5
Hattie,6-3-9
Hence,1-7-8
Hillard,1-9-1
Hollie,2-5-7
Holmes,2-7-9
Hope,2-6-8
Hyman,1-6-7
Ishmael,6-7-4
Jarrett,6-5-2
Jessee,6-3-9
Joeseph,7-8-6
Junious,3-7-1
Kirk,9-4-4
Levy,5-5-1
Mervin,5-4-9
Michel,5-9-5
Milford,6-8-5
Mitchel,5-2-7
Nellie,1-2-3
Noble,2-1-3
Obed,2-6-8
Oda,7-4-2
Orren,2-5-7
Ottis,6-5-2
Rafe,6-6-3
Redden,1-4-5
Reese,6-1-7
Rube,8-2-1
Ruby,3-9-3
Rupert,8-9-8
Salomon,4-4-8
Sammie,6-9-6
Sanders,6-2-8
Soloman,4-4-8
Stacy,1-4-5
Stanford,7-9-7
Stanton,7-6-4
Thad,1-5-6
Titus,3-5-8
Tracy,1-3-4
Vernie,1-9-1
Wendell,1-2-3
Wilhelm,5-5-1
Willian,1-7-8
Yee,1-7-8
Zeke,1-1-2
Ab,1-2-3
Abbott,7-8-6
Agustus,7-2-9
Albertus,9-8-8
Almer,6-7-4
Alphonso,4-6-1
Alvia,2-7-9
Artie,6-2-8
Arvid,1-8-9
Ashby,1-9-1
Augusta,8-1-9
Aurthur,7-1-8
Babe,6-4-1
Baldwin,1-1-2
Barnett,6-2-8
Bartholomew,9-6-6
Barton,7-9-7
Bernie,1-7-8
Blaine,6-1-7
Boston,3-1-4
Brad,1-6-7
Bradford,7-7-5
Bradley,6-7-4
Brooks,3-5-8
Buck,3-7-1
Budd,3-1-4
Ceylon,2-9-2
Chalmers,6-1-7
Chesley,1-4-5
Chin,9-7-7
Cleo,2-6-8
Crockett,2-3-5
Cyril,9-4-4
Daisy,1-3-4
Denver,1-4-5
Dow,6-9-6
Duff,3-7-1
Edie,1-4-5
Edith,5-5-1
Elick,5-8-4
Elie,1-3-4
Eliga,6-1-7
Eliseo,7-4-2
Elroy,2-1-3
Ely,5-1-6
Ennis,5-2-7
Enrique,4-4-8
Erasmus,9-6-6
Esau,9-1-1
Everette,2-8-1
Firman,1-6-7
Fleming,5-7-3
Flora,7-9-7
Gardner,6-7-4
Gee,1-7-8
Gorge,2-5-7
Gottlieb,2-7-9
Gregorio,8-5-4
Gregory,2-3-5
Gustavus,7-6-4
Halsey,6-1-7
Handy,1-6-7
Hardie,6-3-9
Harl,1-2-3
Hayden,6-6-3
Hays,1-7-8
Hermon,2-8-1
Hershel,1-2-3
Holly,6-3-9
Hosteen,7-7-5
Hoyt,6-8-5
Hudson,9-9-9
Huey,8-6-5
Humphrey,8-7-6
Hunt,3-6-9
Hyrum,3-1-4
Irven,5-9-5
Isam,1-5-6
Ivy,9-2-2
Jabez,6-2-8
Jewel,1-9-1
Jodie,2-5-7
Judd,3-9-3
Julious,3-5-8
Justice,8-7-6
Katherine,2-8-1
Kelly,5-6-2
Kit,9-4-4
Knute,8-9-8
Lavern,6-3-9
Lawyer,6-6-3
Layton,7-1-8
Brown,6-3-9
Newell,1-7-8
Carter,6-5-2
Lucas,4-7-2
Ransom,7-1-8
Bee,1-2-3
Meyer,1-2-3
Paris,1-8-9
Byrd,7-6-4
Deforest,7-4-2
Dolph,6-4-1
Harper,6-6-3
Jule,8-4-3
Lambert,6-2-8
Margaret,7-4-2
Ocie,2-3-5
Orange,3-3-6
Reece,6-3-9
Roe,2-9-2
Ambers,6-7-4
Bessie,1-4-5
Collins,6-6-3
Elbridge,1-7-8
Eldon,2-3-5
Elvis,5-8-4
Gaston,7-6-4
Guadalupe,4-3-7
Hartwell,6-3-9
Knox,6-4-1
Lue,8-3-2
Manning,1-8-9
Ola,7-3-1
Reed,1-4-5
Sampson,7-9-7
Samual,5-8-4
Thos,6-2-8
Todd,6-1-7
Tommy,6-8-5
Unknown,9-4-4
Wirt,9-7-7
Woodie,8-9-8
Alice,6-6-3
Alvis,1-8-9
Ammon,7-4-2
Boss,6-4-1
Cas,1-4-5
Cass,1-5-6
Chalmer,6-9-6
Denton,2-7-9
Elsworth,2-1-3
Erving,5-7-3
Fredric,5-4-9
Furman,4-6-1
