name,combo
MAYS,1-3-4
MCMILLAN,1-4-5
CROSBY,6-4-1
AYERS,6-8-5
CASE,6-4-1
BENTLEY,1-1-2
SHEPARD,6-2-8
EVERETT,6-8-5
PUGH,3-4-7
DAVID,1-3-4
MCMAHON,7-6-4
DUNLAP,4-1-5
BENDER,1-2-3
HAHN,1-3-4
HARDING,1-6-7
ACEVEDO,8-2-1
RAYMOND,7-4-2
BLACKBURN,4-8-3
DUFFY,3-5-8
LANDRY,1-1-2
DOUGHERTY,5-1-6
BAUTISTA,5-7-3
SHAH,1-8-9
POTTS,6-3-9
ARROYO,4-7-2
VALENTINE,2-1-3
MEZA,6-3-9
GOULD,9-5-5
VAUGHAN,5-6-2
FRY,7-6-4
RUSH,3-9-3
AVERY,6-2-8
HERRING,5-2-7
DODSON,3-5-8
CLEMENTS,1-9-1
SAMPSON,7-9-7
TAPIA,2-9-2
BEAN,6-7-4
LYNN,7-4-2
CRANE,6-8-5
FARLEY,6-7-4
CISNEROS,2-1-3
BENTON,2-5-7
ASHLEY,6-1-7
MCKAY,1-7-8
FINLEY,5-3-8
BEST,5-5-1
BLEVINS,5-6-2
FRIEDMAN,6-1-7
MOSES,2-6-8
SOSA,7-2-9
BLANCHARD,2-7-9
HUBER,8-1-9
FRYE,5-4-9
KRUEGER,4-9-4
BERNARD,6-2-8
ROSARIO,4-1-5
RUBIO,9-2-2
MULLEN,8-6-5
BENJAMIN,6-8-5
HALEY,6-9-6
CHUNG,3-5-8
MOYER,2-2-4
CHOI,6-2-8
HORNE,2-4-6
YU,3-7-1
WOODWARD,4-9-4
ALI,1-3-4
NIXON,6-7-4
HAYDEN,6-6-3
RIVERS,5-5-1
ESTES,1-4-5
MCCARTY,1-1-2
RICHMOND,6-6-3
STUART,4-5-9
MAYNARD,2-2-4
BRANDT,1-4-5
OCONNELL,8-1-9
HANNA,2-9-2
SANFORD,7-7-5
SHEPPARD,6-9-6
CHURCH,3-4-7
BURCH,3-4-7
LEVY,5-5-1
RASMUSSEN,9-3-3
COFFEY,2-4-6
PONCE,2-6-8
FAULKNER,9-7-7
DONALDSON,4-4-8
SCHMITT,9-2-2
NOVAK,7-2-9
COSTA,7-6-4
MONTES,2-3-5
BOOKER,8-4-3
CORDOVA,4-2-6
WALLER,6-2-8
ARELLANO,4-2-6
MADDOX,7-9-7
MATA,2-6-8
BONILLA,7-4-2
STANTON,7-6-4
COMPTON,3-3-6
KAUFMAN,5-8-4
DUDLEY,8-9-8
MCPHERSON,2-1-3
BELTRAN,6-3-9
DICKSON,6-6-3
MCCANN,1-2-3
VILLEGAS,6-9-6
PROCTOR,3-3-6
HESTER,1-2-3
CANTRELL,6-7-4
DAUGHERTY,9-1-1
CHERRY,5-9-5
BRAY,1-9-1
DAVILA,2-2-4
ROWLAND,7-8-6
LEVINE,1-3-4
MADDEN,6-8-5
SPENCE,1-7-8
GOOD,3-2-5
IRWIN,9-1-1
WERNER,1-1-2
KRAUSE,9-3-3
PETTY,5-9-5
WHITNEY,5-9-5
BAIRD,1-6-7
HOOPER,8-6-5
POLLARD,7-8-6
ZAVALA,3-6-9
JARVIS,1-6-7
HOLDEN,2-2-4
HAAS,2-9-2
HENDRIX,5-5-1
MCGRATH,1-6-7
BIRD,9-6-6
LUCERO,5-6-2
TERRELL,1-8-9
RIGGS,9-6-6
JOYCE,2-2-4
MERCER,1-7-8
ROLLINS,6-3-9
GALLOWAY,8-7-6
DUKE,8-6-5
ODOM,3-8-2
ANDERSEN,2-6-8
DOWNS,6-6-3
HATFIELD,6-5-2
BENITEZ,1-8-9
ARCHER,6-2-8
HUERTA,9-1-1
TRAVIS,1-7-8
MCNEIL,5-6-2
HINTON,6-2-8
ZHANG,1-1-2
HAYS,1-7-8
MAYO,7-4-2
FRITZ,9-7-7
BRANCH,1-9-1
MOONEY,8-7-6
EWING,5-8-4
RITTER,5-4-9
ESPARZA,7-7-5
FREY,5-4-9
BRAUN,4-7-2
GAY,1-5-6
RIDDLE,5-2-7
HANEY,6-2-8
KAISER,6-3-9
HOLDER,2-6-8
CHANEY,6-5-2
MCKNIGHT,9-4-4
GAMBLE,6-7-4
VANG,1-7-8
COOLEY,8-4-3
CARNEY,6-6-3
COWAN,7-4-2
FORBES,2-9-2
FERRELL,1-3-4
DAVIES,6-9-6
BARAJAS,3-4-7
SHEA,6-9-6
OSBORN,3-8-2
BRIGHT,9-1-1
CUEVAS,9-8-8
BOLTON,3-3-6
MURILLO,9-1-1
LUTZ,3-4-7
DUARTE,9-6-6
KIDD,9-1-1
KEY,5-9-5
COOKE,8-5-4
GOFF,6-1-7
DEJESUS,4-7-2
MARIN,1-9-1
DOTSON,3-3-6
BONNER,2-3-5
COTTON,3-3-6
MERRILL,5-1-6
LINDSAY,1-2-3
LANCASTER,7-5-3
MCGOWAN,7-6-4
FELIX,5-6-2
SALGADO,8-6-5
SLATER,6-6-3
CARVER,6-7-4
GUTHRIE,8-8-7
HOLMAN,7-2-9
FULTON,9-7-7
SNIDER,5-1-6
SEARS,6-2-8
WITT,9-9-9
NEWELL,1-7-8
BYERS,5-1-6
LEHMAN,6-2-8
GORMAN,7-7-5
COSTELLO,8-3-2
DONAHUE,6-8-5
DELANEY,2-1-3
ALBERT,6-7-4
WORKMAN,7-7-5
ROSAS,7-2-9
SPRINGER,5-2-7
KINNEY,5-1-6
JUSTICE,8-7-6
ODELL,2-1-3
LAKE,6-5-2
DONNELLY,2-9-2
LAW,1-8-9
DAILEY,6-5-2
GUEVARA,1-2-3
SHOEMAKER,8-6-5
BARLOW,7-1-8
MARINO,7-9-7
WINTER,5-3-8
CRAFT,1-2-3
KATZ,1-3-4
PICKETT,5-7-3
ESPINOSA,3-5-8
MALONEY,3-1-4
DALY,1-5-6
GOLDSTEIN,2-4-6
CROWLEY,2-9-2
VOGEL,2-5-7
KUHN,3-6-9
PEARCE,2-1-3
HARTLEY,6-2-8
CLEVELAND,2-4-6
PALACIOS,8-5-4
MCFADDEN,6-8-5
BRITT,9-6-6
WOOTEN,8-3-2
CORTES,2-6-8
DILLARD,1-5-6
CHILDERS,5-1-6
ALFORD,7-4-2
DODD,6-3-9
EMERSON,7-1-8
WILDER,5-3-8
LANGE,6-6-3
GOLDBERG,2-5-7
QUINTERO,5-6-2
BEACH,6-4-1
ENRIQUEZ,4-3-7
QUINTANA,5-2-7
HELMS,5-7-3
MACKEY,6-7-4
FINCH,9-4-4
CRAMER,6-7-4
MINOR,6-9-6
FLANAGAN,3-8-2
FRANKS,1-5-6
CORONA,4-8-3
KENDALL,6-8-5
MCCABE,6-3-9
HENDRICKSON,2-1-3
MOSER,2-5-7
MCDERMOTT,2-1-3
CAMP,1-5-6
MCLEOD,2-5-7
BERNAL,6-1-7
KAPLAN,2-8-1
MEDRANO,3-4-7
LUGO,9-1-1
TRACY,1-3-4
BACON,7-1-8
CROWE,2-8-1
RICHTER,5-4-9
WELSH,5-8-4
HOLLEY,2-3-5
RATLIFF,1-8-9
MAYFIELD,6-6-3
TALLEY,6-6-3
HAINES,6-5-2
DALE,6-7-4
GIBBONS,6-8-5
HICKEY,5-2-7
BYRNE,5-5-1
KIRKLAND,1-7-8
